annotation path,recording path,recording path raw,dataset,set,annotation start (ms),annotation end (ms),annotation duration (ms),recording duration (ms),format,child_id,annotation_filename,recording_filename,split
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/annotations/textgrid/mm/converted/tsimane2017_C23_20170712_5640000_5700000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/converted/standard/tsimane2017_C23_20170712.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/raw/tsimane2017_C23_20170712.wav,tsimane2017,textgrid/mm,5640000,5700000,60000,14351546,TextGrid,C23,tsimane2017_C23_20170712_5640000_5700000.csv,tsimane2017_C23_20170712.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/annotations/eaf_2024/DFGB/converted/tsimane2017_C23_20170712_5640000_5700000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/converted/standard/tsimane2017_C23_20170712.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/raw/tsimane2017_C23_20170712.wav,tsimane2017,eaf_2024/DFGB,5640000,5700000,60000,14351546,eaf,C23,tsimane2017_C23_20170712_5640000_5700000.csv,tsimane2017_C23_20170712.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/annotations/eaf_2024/DFGB/converted/tsimane2017_C23_20170712_2040000_2100000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/converted/standard/tsimane2017_C23_20170712.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/raw/tsimane2017_C23_20170712.wav,tsimane2017,eaf_2024/DFGB,2040000,2100000,60000,14351546,eaf,C23,tsimane2017_C23_20170712_2040000_2100000.csv,tsimane2017_C23_20170712.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/annotations/textgrid/mm/converted/tsimane2017_C23_20170712_9240000_9300000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/converted/standard/tsimane2017_C23_20170712.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/raw/tsimane2017_C23_20170712.wav,tsimane2017,textgrid/mm,9240000,9300000,60000,14351546,TextGrid,C23,tsimane2017_C23_20170712_9240000_9300000.csv,tsimane2017_C23_20170712.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/annotations/eaf_2024/DFGB/converted/tsimane2017_C23_20170712_9240000_9300000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/converted/standard/tsimane2017_C23_20170712.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/raw/tsimane2017_C23_20170712.wav,tsimane2017,eaf_2024/DFGB,9240000,9300000,60000,14351546,eaf,C23,tsimane2017_C23_20170712_9240000_9300000.csv,tsimane2017_C23_20170712.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/annotations/eaf_2024/DFGB/converted/tsimane2017_C23_20170712_12840000_12900000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/converted/standard/tsimane2017_C23_20170712.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/raw/tsimane2017_C23_20170712.wav,tsimane2017,eaf_2024/DFGB,12840000,12900000,60000,14351546,eaf,C23,tsimane2017_C23_20170712_12840000_12900000.csv,tsimane2017_C23_20170712.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/annotations/textgrid/mm/converted/tsimane2017_C23_20170712_2040000_2100000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/converted/standard/tsimane2017_C23_20170712.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/raw/tsimane2017_C23_20170712.wav,tsimane2017,textgrid/mm,2040000,2100000,60000,14351546,TextGrid,C23,tsimane2017_C23_20170712_2040000_2100000.csv,tsimane2017_C23_20170712.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/annotations/textgrid/mm/converted/tsimane2017_C23_20170712_12840000_12900000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/converted/standard/tsimane2017_C23_20170712.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/tsimane2017/recordings/raw/tsimane2017_C23_20170712.wav,tsimane2017,textgrid/mm,12840000,12900000,60000,14351546,TextGrid,C23,tsimane2017_C23_20170712_12840000_12900000.csv,tsimane2017_C23_20170712.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/annotations/eaf_high_volubility/converted/123736-5980_1_11405000_11525000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/converted/standard/123736-5980_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/raw/123736-5980_1.wav,bergelson,eaf_high_volubility,11405000,11525000,120000,57599990,eaf,12,123736-5980_1_11405000_11525000.csv,123736-5980_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/annotations/eaf_high_volubility/converted/123736-5980_1_25205000_25325000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/converted/standard/123736-5980_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/raw/123736-5980_1.wav,bergelson,eaf_high_volubility,25205000,25325000,120000,57599990,eaf,12,123736-5980_1_25205000_25325000.csv,123736-5980_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/annotations/eaf_high_volubility/converted/123736-5980_1_34805000_34925000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/converted/standard/123736-5980_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/raw/123736-5980_1.wav,bergelson,eaf_high_volubility,34805000,34925000,120000,57599990,eaf,12,123736-5980_1_34805000_34925000.csv,123736-5980_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/annotations/eaf_high_volubility/converted/123736-5980_1_42605000_42725000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/converted/standard/123736-5980_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/raw/123736-5980_1.wav,bergelson,eaf_high_volubility,42605000,42725000,120000,57599990,eaf,12,123736-5980_1_42605000_42725000.csv,123736-5980_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/annotations/eaf_high_volubility/converted/123736-5980_1_8405000_8525000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/converted/standard/123736-5980_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/bergelson/recordings/raw/123736-5980_1.wav,bergelson,eaf_high_volubility,8405000,8525000,120000,57599990,eaf,12,123736-5980_1_8405000_8525000.csv,123736-5980_1.wav,train
