,dataset,set,annotated_total_duration_min,sampled_total_duration_min,num_of_segments_non_empty,num_of_samples
76,babylogger-vs-lena-data,eaf_2025/PB,20.753,48.0,860,48
7,bergelson,eaf/an1,94.585,302.0,4247,151
9,bergelson,eaf/reliability,5.485,10.0,308,10
8,bergelson,eaf_high_volubility,154.702,300.0,7256,150
88,cougar,cha/an1,1477.345,1560.0,35868,156
89,cougar,eaf_2023/AM,250.893,390.0,12508,78
90,cougar,eaf_2023/JN,207.905,300.0,10228,60
91,cougar,eaf_2025_May/AD,45.968,70.0,2377,14
92,cougar,eaf_2025_May/CC,5.388,10.0,283,2
93,cougar,eaf_2025_May/HA,133.501,220.0,6776,44
94,cougar,eaf_2025_May/LQ,34.508,190.0,1542,38
38,fausey-trio,eaf_2021/LM,5.689,54.0,307,216
39,fausey-trio,eaf_2021/SP,19.425,68.75,798,275
2,forrester,cha,1290.809,1415.723,26189,31
82,israel-natovich,eaf_2023,46.423,5.0,1981,10
83,israel-natovich,eaf_och_2024/AC,10.614,0.5,521,10
84,israel-natovich,eaf_och_2024/IK,11.499,0.5,572,10
85,israel-natovich,eaf_och_2024/JH,18.797,0.5,1050,10
86,israel-natovich,eaf_och_2024/ML,12.939,0.5,429,10
87,israel-natovich,eaf_och_2024/PB,7.809,0.5,452,10
53,japanese-tsuji2024,eaf/2025,30.975,390.0,1155,13
58,lucid,eaf/an1,87.371,300.0,5356,150
59,lucid,eaf/reliability,5.354,10.0,265,10
60,lucid,eaf_hv,147.397,300.0,8604,150
16,lyon,eaf_2021/CD,25.703,40.0,1180,160
17,lyon,eaf_2021/CM,28.2,46.5,1706,186
18,lyon,eaf_2021_conv/EC,31.575,36.0,1312,180
19,lyon,eaf_2021_conv/JC,34.43,40.0,1408,200
20,lyon,eaf_2021_conv/MA,27.768,35.8,1244,179
21,lyon,eaf_2022/AM,6.729,8.386,290,41
22,lyon,eaf_2022/CA,68.516,81.4,2874,407
23,lyon,eaf_2022/ER,66.467,64.4,2327,322
24,lyon,eaf_2022/LL,60.719,64.4,2291,322
25,lyon,eaf_2022/PC,70.58,81.4,2997,407
26,lyon,eaf_2025_May/AD,63.75,145.0,1700,29
27,lyon,eaf_2025_May/CK,138.345,260.0,3346,52
28,lyon,eaf_2025_May/CR,119.741,205.0,2460,41
29,lyon,eaf_2025_May/EC,142.057,265.0,3002,53
30,lyon,eaf_2025_May/FB,65.603,140.0,2231,28
31,lyon,eaf_2025_May/LD,48.184,135.0,1322,27
32,lyon,eaf_2025_May/LQ,109.305,205.0,2348,41
33,lyon,eaf_2025_May/PT,96.441,260.0,1873,52
34,lyon,eaf_2025_May/SC,105.134,210.0,2170,42
35,lyon,textgrid/gl,693.535,1080.0,14245,216
40,oshikoto2025-petrovic,eaf_2025/PB,19.298,46.0,1080,46
81,phonSES,eaf_2025/PB,14.784,65.0,751,65
13,png2016,eaf_2016,1051.81,374.233,18619,206
