,dataset,set,annotated_total_duration_min,sampled_total_duration_min,num_of_segments_non_empty,num_of_samples
1,bergelson,eaf/an1,105.562,302.0,3824,151
3,bergelson,eaf/reliability,5.505,10.0,251,10
2,bergelson,eaf_high_volubility,130.736,300.0,5127,150
36,cougar,cha/an1,0.402,1560.0,14,156
37,cougar,eaf_2023/AM,250.879,390.0,12507,78
38,cougar,eaf_2023/JN,208.488,300.0,10242,60
39,cougar,eaf_2025_May/AD,59.396,140.0,3148,14
40,cougar,eaf_2025_May/CC,7.897,20.0,383,2
41,cougar,eaf_2025_May/HA,188.617,440.0,9701,44
42,cougar,eaf_2025_May/LQ,42.09,380.0,1898,38
26,lucid,eaf/an1,77.379,300.0,4094,150
27,lucid,eaf/reliability,5.111,10.0,216,10
28,lucid,eaf_hv,123.811,300.0,5933,150
9,lyon,eaf_2022/AM,2.938,8.386,138,41
10,lyon,eaf_2022/CA,38.131,81.4,1568,407
11,lyon,eaf_2022/ER,38.011,64.4,1351,322
12,lyon,eaf_2022/LL,34.082,64.4,1326,322
13,lyon,eaf_2022/PC,37.727,81.4,1654,407
14,lyon,eaf_2025_May/AD,26.782,145.0,1027,29
15,lyon,eaf_2025_May/CK,65.409,260.0,1828,52
16,lyon,eaf_2025_May/CR,47.359,205.0,1043,41
17,lyon,eaf_2025_May/EC,56.768,265.0,1262,53
18,lyon,eaf_2025_May/FB,32.398,140.0,1394,28
19,lyon,eaf_2025_May/LD,19.042,135.0,660,27
20,lyon,eaf_2025_May/LQ,33.321,205.0,824,41
21,lyon,eaf_2025_May/PT,43.402,260.0,917,52
22,lyon,eaf_2025_May/SC,37.669,210.0,815,42
23,lyon,textgrid/gl,256.504,1080.0,5244,216
35,phonSES,eaf_2025/PB,9.152,65.0,453,65
7,png2016,eaf_2016,238.546,374.233,13743,206
8,png2016,eaf_2016/reliability,6.813,10.0,356,10
0,soderstrom,cha,171.634,3119.633,5478,57
34,thomas,cha,15.581,24510.757,354,377
24,tseltal2015,eaf_2015,159.8,395.85,7327,203
25,tseltal2015,eaf_2015/reliability,4.238,10.0,240,10
29,tsimane2017,eaf_2024/DFGB,89.141,486.0,3718,486
30,vanuatu,eaf_2023/AM,3.192,14.4,177,72
4,warlaumont,eaf/an1,104.982,302.0,3628,151
5,warlaumont,eaf/reliability,4.173,10.0,189,10
6,warlaumont,eaf_hv,82.516,212.0,3720,106
31,winnipeg,eaf/an1,122.245,300.0,4955,150
32,winnipeg,eaf/reliability,4.144,9.0,154,9
33,winnipeg,eaf_hv,97.775,168.0,3585,84
