,dataset,set,annotated_total_duration_min,sampled_total_duration_min,num_of_segments_non_empty,num_of_samples
10,bergelson,eaf/an1,222.941,604.0,9343,151
12,bergelson,eaf/reliability,11.958,20.0,633,10
11,bergelson,eaf_high_volubility,325.218,600.0,14610,150
90,cougar,cha/an1,2230.186,2340.0,54172,156
91,cougar,eaf_2023/AM,503.989,780.0,25065,78
92,cougar,eaf_2023/JN,416.418,600.0,20473,60
93,cougar,eaf_2025_May/AD,94.14,140.0,4803,14
94,cougar,eaf_2025_May/CC,10.818,20.0,568,2
95,cougar,eaf_2025_May/HA,269.411,440.0,13604,44
96,cougar,eaf_2025_May/LQ,72.751,380.0,3163,38
41,fausey-trio,eaf_2021/LM,12.199,108.0,631,216
42,fausey-trio,eaf_2021/SP,42.255,137.5,1630,275
2,forrester,cha,1941.124,2123.584,39386,31
84,israel-natovich,eaf_2023,92.846,10.0,3962,10
85,israel-natovich,eaf_och_2024/AC,21.228,1.0,1042,10
86,israel-natovich,eaf_och_2024/IK,22.999,1.0,1144,10
87,israel-natovich,eaf_och_2024/JH,37.593,1.0,2100,10
88,israel-natovich,eaf_och_2024/ML,25.878,1.0,858,10
89,israel-natovich,eaf_och_2024/PB,15.618,1.0,904,10
56,japanese-tsuji2024,eaf/2025,61.95,780.0,2310,13
61,lucid,eaf/an1,190.717,600.0,11396,150
62,lucid,eaf/reliability,11.427,20.0,555,10
63,lucid,eaf_hv,319.941,600.0,17977,150
19,lyon,eaf_2021/CD,51.406,80.0,2360,160
20,lyon,eaf_2021/CM,56.98,93.0,3422,186
21,lyon,eaf_2021_conv/EC,63.149,72.0,2624,180
22,lyon,eaf_2021_conv/JC,68.859,80.0,2816,200
23,lyon,eaf_2021_conv/MA,55.536,71.6,2488,179
24,lyon,eaf_2022/AM,13.458,16.772,580,41
25,lyon,eaf_2022/CA,137.032,162.8,5748,407
26,lyon,eaf_2022/ER,132.935,128.8,4654,322
27,lyon,eaf_2022/LL,121.438,128.8,4582,322
28,lyon,eaf_2022/PC,141.16,162.8,5994,407
29,lyon,eaf_2025_May/AD,127.5,290.0,3400,29
30,lyon,eaf_2025_May/CK,278.123,520.0,6718,52
31,lyon,eaf_2025_May/CR,240.228,410.0,4934,41
32,lyon,eaf_2025_May/EC,286.233,530.0,6043,53
33,lyon,eaf_2025_May/FB,131.206,280.0,4462,28
34,lyon,eaf_2025_May/LD,96.367,270.0,2644,27
35,lyon,eaf_2025_May/LQ,218.745,410.0,4698,41
36,lyon,eaf_2025_May/PT,193.396,520.0,3756,52
37,lyon,eaf_2025_May/SC,211.468,420.0,4356,42
38,lyon,textgrid/gl,1387.23,2160.0,28493,216
