,dataset,set,annotated_total_duration_min,sampled_total_duration_min,num_of_segments_non_empty,num_of_samples
2,bergelson,eaf/an1,128.355,302.0,5096,151
4,bergelson,eaf/reliability,6.473,10.0,325,10
3,bergelson,eaf_high_volubility,170.517,300.0,7354,150
31,cougar,cha/an1,752.841,780.0,18304,156
32,cougar,eaf_2023/AM,252.959,390.0,12555,78
33,cougar,eaf_2023/JN,208.512,300.0,10245,60
34,cougar,eaf_2025_May/AD,48.171,70.0,2426,14
35,cougar,eaf_2025_May/CC,5.431,10.0,285,2
36,cougar,eaf_2025_May/HA,135.868,220.0,6826,44
37,cougar,eaf_2025_May/LQ,38.243,190.0,1621,38
0,forrester,cha,650.315,707.861,13197,31
22,lucid,eaf/an1,103.346,300.0,6040,150
23,lucid,eaf/reliability,6.073,10.0,290,10
24,lucid,eaf_hv,172.544,300.0,9373,150
9,lyon,eaf_2025_May/AD,63.709,145.0,1698,29
10,lyon,eaf_2025_May/CK,139.675,260.0,3367,52
11,lyon,eaf_2025_May/CR,120.487,205.0,2474,41
12,lyon,eaf_2025_May/EC,144.16,265.0,3040,53
13,lyon,eaf_2025_May/FB,65.603,140.0,2230,28
14,lyon,eaf_2025_May/LD,47.97,135.0,1315,27
15,lyon,eaf_2025_May/LQ,109.439,205.0,2350,41
16,lyon,eaf_2025_May/PT,96.902,260.0,1882,52
17,lyon,eaf_2025_May/SC,106.19,210.0,2183,42
18,lyon,textgrid/gl,693.695,1080.0,14248,216
8,providence,cha,20026.629,20929.795,368009,364
1,soderstrom,cha,984.95,1559.816,33679,57
30,thomas,cha,16460.486,24510.757,590264,377
26,tsay,cha,6037.239,8208.591,326975,245
20,tseltal2015,eaf_2015,1011.214,395.85,11141,203
21,tseltal2015,eaf_2015/reliability,17.028,10.0,328,10
25,tsimane2017,eaf_2024/DFGB,178.434,486.0,7452,486
19,tsimanem2018,eaf/vocs,78.491,55.263,2230,1782
5,warlaumont,eaf/an1,131.122,302.0,5383,151
6,warlaumont,eaf/reliability,5.919,10.0,275,10
7,warlaumont,eaf_hv,115.859,212.0,5668,106
27,winnipeg,eaf/an1,143.431,300.0,6509,150
28,winnipeg,eaf/reliability,4.626,9.0,184,9
29,winnipeg,eaf_hv,120.403,168.0,5256,84
