dataset,set,sampled_duration_minutes,duration_annotated_minutes
winnipeg,eaf/an1,300.0,3.8
winnipeg,eaf/reliability,9.0,4.63
winnipeg,eaf_hv,168.0,0.73
tseltal2015,eaf_2015,395.85,18.4
tseltal2015,eaf_2015/reliability,10.0,0.0
lyon,eaf_2021/CD,40.0,0.0
lyon,eaf_2021/CM,46.5,0.0
lyon,eaf_2021_conv/EC,36.0,31.55
lyon,eaf_2021_conv/JC,40.0,34.01
lyon,eaf_2021_conv/MA,35.8,27.51
lyon,eaf_2022/AM,8.39,4.85
lyon,eaf_2022/CA,81.4,49.67
lyon,eaf_2022/ER,64.4,29.95
lyon,eaf_2022/LL,64.4,26.64
lyon,eaf_2022/PC,81.4,52.87
cougar,eaf_2023/AM,390.0,0.0
cougar,eaf_2023/AM,390.0,0.0
lucid,eaf/an1,300.0,8.97
lucid,eaf/reliability,10.0,0.26
lucid,eaf_hv,300.0,19.06
solomon,eaf_2023/AH,8.0,0.0
solomon,eaf_2023/AH,8.0,0.0
solomon,eaf_2023/DD,10.0,0.0
solomon,eaf_2023/LJB,54.0,0.0
solomon,eaf_2023/RC,38.0,0.0
solomon,solis/BC,59.0,0.0
solomon,solis/LD,15.0,0.0
solomon,solis/NK,161.0,0.0
solomon,solis/NM,88.0,0.0
vanuatu,eaf_2023/AD,14.4,12.68
vanuatu,eaf_2023/AM,14.4,14.66
vanuatu,eaf_2023/HM,14.4,15.01
vanuatu,eaf_2023/MC,14.4,14.33
vanuatu,eaf_2023/MR,14.4,10.04
warlaumont,eaf/an1,302.0,0.06
warlaumont,eaf/reliability,10.0,5.92
warlaumont,eaf_hv,212.0,115.86
tsimane2017,eaf/nk,88.0,0.0
tsimane2017,eaf_2024/DFGB,486.0,89.07
png2016,eaf_2016,374.23,22.29
png2016,eaf_2016/reliability,10.0,0.0
