dataset,set,sampled_duration_minutes,duration_annotated_minutes
oshikoto2025-petrovic,eaf_2025/PB,46.0,19.3
thomas,cha,24510.76,0.06
winnipeg,eaf/an1,300.0,9.94
winnipeg,eaf/reliability,9.0,0.19
winnipeg,eaf_hv,168.0,5.65
png2019,eaf/mc,24.0,12.31
timor-leste2022,eaf_periodic/CC,45.0,0.0
timor-leste2022,eaf_periodic/DJ,75.0,0.0
timor-leste2022,eaf_periodic/LL,41.0,0.0
tseltal2015,eaf_2015,395.85,23.81
tseltal2015,eaf_2015/reliability,10.0,0.0
lyon,eaf_2021/CD,40.0,0.0
lyon,eaf_2021/CM,46.5,0.0
lyon,eaf_2021_conv/EC,36.0,10.59
lyon,eaf_2021_conv/JC,40.0,3.43
lyon,eaf_2021_conv/MA,35.8,7.79
lyon,eaf_2022/AM,8.39,4.85
lyon,eaf_2022/CA,81.4,49.67
lyon,eaf_2022/ER,64.4,29.95
lyon,eaf_2022/LL,64.4,26.64
lyon,eaf_2022/PC,81.4,52.87
lyon,eaf_2025_May/AD,145.0,2.67
lyon,eaf_2025_May/CK,260.0,8.72
lyon,eaf_2025_May/CR,205.0,5.78
lyon,eaf_2025_May/EC,265.0,4.78
lyon,eaf_2025_May/FB,140.0,7.04
lyon,eaf_2025_May/LD,135.0,2.17
lyon,eaf_2025_May/LQ,205.0,3.15
lyon,eaf_2025_May/PT,260.0,3.85
lyon,eaf_2025_May/SC,210.0,4.35
lyon,textgrid/gl,1080.0,693.7
cougar,cha/an1,780.0,2.35
cougar,eaf_2023/AM,390.0,0.0
cougar,eaf_2023/AM,390.0,0.0
cougar,eaf_2025_May/AD,70.0,0.14
cougar,eaf_2025_May/CC,10.0,0.57
cougar,eaf_2025_May/HA,220.0,8.1
cougar,eaf_2025_May/LQ,190.0,1.02
japanese-tsuji2024,eaf/2025,390.0,30.97
fausey-trio,eaf_2021/LM,54.0,0.0
fausey-trio,eaf_2021/SP,68.75,0.0
quechua,eaf/IK,38.0,0.0
quechua,eaf/JH,31.0,0.0
quechua,eaf/ML,39.0,0.0
israel-natovich,eaf_2023,5.0,0.0
israel-natovich,eaf_och_2024/AC,0.5,10.61
israel-natovich,eaf_och_2024/AC,0.5,10.61
israel-natovich,eaf_och_2024/AC,0.5,10.61
israel-natovich,eaf_och_2024/AC,0.5,10.61
israel-natovich,eaf_och_2024/AC,0.5,10.61
providence,cha,20929.8,422.38
timor-leste2024,eaf_2025/AC,65.0,19.31
timor-leste2024,eaf_2025/PB,39.0,9.97
lucid,eaf/an1,300.0,14.87
lucid,eaf/reliability,10.0,0.45
lucid,eaf_hv,300.0,32.27
solomon,eaf_2021/EC,45.25,0.0
solomon,eaf_2021/JC,40.25,0.0
solomon,eaf_2021/MA,40.0,0.0
solomon,eaf_2023/AH,8.0,0.0
solomon,eaf_2023/AH,8.0,0.0
solomon,eaf_2023/DD,10.0,0.0
solomon,eaf_2023/LJB,54.0,0.0
solomon,eaf_2023/RC,38.0,0.0
solomon,solis/BC,59.0,0.0
solomon,solis/LD,15.0,0.0
solomon,solis/NK,161.0,0.0
solomon,solis/NM,88.0,0.0
tsay,cha,8208.59,1139.73
phonSES,eaf_2025/PB,65.0,14.78
ticuna2018,eaf_2025/AC,69.0,4.34
ticuna2018,eaf_2025/PB,12.0,4.47
vanuatu,eaf_2023/AD,14.4,12.68
vanuatu,eaf_2023/AM,14.4,14.66
vanuatu,eaf_2023/HM,14.4,15.14
vanuatu,eaf_2023/MC,14.4,14.33
vanuatu,eaf_2023/MR,14.4,10.04
vanuatu,textgrid/m1,173.0,53.62
babylogger-vs-lena-data,eaf_2025/PB,48.0,20.75
warlaumont,eaf/an1,302.0,1.93
warlaumont,eaf/reliability,10.0,5.92
warlaumont,eaf_hv,212.0,0.76
bergelson,eaf/an1,302.0,4.52
bergelson,eaf/reliability,10.0,0.21
bergelson,eaf_high_volubility,300.0,11.63
tsimane2017,eaf/nk,88.0,0.0
tsimane2017,eaf_2021/CD,118.0,0.0
tsimane2017,eaf_2021/CM,63.0,0.0
tsimane2017,eaf_2024/DFGB,486.0,89.36
tsimane2017,textgrid/mm,541.0,146.38
png2016,eaf_2016,374.23,30.92
png2016,eaf_2016/reliability,10.0,0.0
soderstrom,cha,1559.82,0.01
