dataset,set,sampled_duration_minutes,duration_annotated_minutes
oshikoto2025-petrovic,eaf_2025/PB,46.0,19.3
thomas,cha,24510.76,15.58
winnipeg,eaf/an1,300.0,3.8
winnipeg,eaf/reliability,9.0,4.63
winnipeg,eaf_hv,168.0,0.73
png2019,eaf/mc,24.0,0.0
timor-leste2022,eaf_periodic/CC,45.0,0.0
timor-leste2022,eaf_periodic/DJ,75.0,0.0
timor-leste2022,eaf_periodic/LL,41.0,0.0
tseltal2015,eaf_2015,395.85,18.4
tseltal2015,eaf_2015/reliability,10.0,0.0
lyon,eaf_2021/CD,40.0,0.0
lyon,eaf_2021/CM,46.5,0.0
lyon,eaf_2021_conv/EC,36.0,31.55
lyon,eaf_2021_conv/JC,40.0,34.01
lyon,eaf_2021_conv/MA,35.8,27.51
lyon,eaf_2022/AM,8.39,4.85
lyon,eaf_2022/CA,81.4,49.67
lyon,eaf_2022/ER,64.4,29.95
lyon,eaf_2022/LL,64.4,26.64
lyon,eaf_2022/PC,81.4,52.87
lyon,eaf_2025_May/AD,145.0,0.69
lyon,eaf_2025_May/CK,260.0,1.01
lyon,eaf_2025_May/CR,205.0,0.76
lyon,eaf_2025_May/EC,265.0,1.17
lyon,eaf_2025_May/FB,140.0,0.99
lyon,eaf_2025_May/LD,135.0,0.87
lyon,eaf_2025_May/LQ,205.0,0.38
lyon,eaf_2025_May/PT,260.0,2.11
lyon,eaf_2025_May/SC,210.0,0.88
lyon,textgrid/gl,1080.0,256.5
cougar,cha/an1,780.0,0.2
cougar,eaf_2023/AM,390.0,0.0
cougar,eaf_2023/AM,390.0,0.0
cougar,eaf_2025_May/AD,70.0,0.69
cougar,eaf_2025_May/CC,10.0,0.07
cougar,eaf_2025_May/HA,220.0,3.23
cougar,eaf_2025_May/LQ,190.0,0.03
japanese-tsuji2024,eaf/2025,390.0,30.97
fausey-trio,eaf_2021/LM,54.0,0.0
fausey-trio,eaf_2021/SP,68.75,0.0
quechua,eaf/IK,38.0,0.0
quechua,eaf/JH,31.0,0.0
quechua,eaf/ML,39.0,0.0
israel-natovich,eaf_2023,5.0,0.0
israel-natovich,eaf_och_2024/AC,0.5,10.61
israel-natovich,eaf_och_2024/AC,0.5,10.61
israel-natovich,eaf_och_2024/AC,0.5,10.61
israel-natovich,eaf_och_2024/AC,0.5,10.61
israel-natovich,eaf_och_2024/AC,0.5,10.61
providence,cha,20929.8,16821.4
timor-leste2024,eaf_2025/AC,65.0,19.31
timor-leste2024,eaf_2025/PB,39.0,9.97
lucid,eaf/an1,300.0,8.97
lucid,eaf/reliability,10.0,0.26
lucid,eaf_hv,300.0,19.06
solomon,eaf_2021/EC,45.25,0.0
solomon,eaf_2021/JC,40.25,0.0
solomon,eaf_2021/MA,40.0,0.0
solomon,eaf_2023/AH,8.0,0.0
solomon,eaf_2023/AH,8.0,0.0
solomon,eaf_2023/DD,10.0,0.0
solomon,eaf_2023/LJB,54.0,0.0
solomon,eaf_2023/RC,38.0,0.0
solomon,solis/BC,59.0,0.0
solomon,solis/LD,15.0,0.0
solomon,solis/NK,161.0,0.0
solomon,solis/NM,88.0,0.0
tsay,cha,8208.59,2691.29
phonSES,eaf_2025/PB,65.0,9.15
ticuna2018,eaf_2025/AC,69.0,4.34
ticuna2018,eaf_2025/PB,12.0,4.47
vanuatu,eaf_2023/AD,14.4,12.68
vanuatu,eaf_2023/AM,14.4,14.66
vanuatu,eaf_2023/HM,14.4,15.01
vanuatu,eaf_2023/MC,14.4,14.33
vanuatu,eaf_2023/MR,14.4,10.04
vanuatu,textgrid/m1,173.0,53.62
babylogger-vs-lena-data,eaf_2025/PB,48.0,0.0
warlaumont,eaf/an1,302.0,0.06
warlaumont,eaf/reliability,10.0,5.92
warlaumont,eaf_hv,212.0,115.86
bergelson,eaf/an1,302.0,0.19
bergelson,eaf/reliability,10.0,0.0
bergelson,eaf_high_volubility,300.0,2.31
tsimane2017,eaf/nk,88.0,0.0
tsimane2017,eaf_2021/CD,118.0,0.0
tsimane2017,eaf_2021/CM,63.0,0.0
tsimane2017,eaf_2024/DFGB,486.0,89.07
tsimane2017,textgrid/mm,541.0,139.0
png2016,eaf_2016,374.23,22.29
png2016,eaf_2016/reliability,10.0,0.0
soderstrom,cha,1559.82,92.71
