annotation path,recording path,recording path raw,dataset,set,annotation start (ms),annotation end (ms),annotation duration (ms),recording duration (ms),format,child_id,annotation_filename,recording_filename
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000530_0_1852528.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000530.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000530.mp3,soderstrom,cha,0,1852528,1852528,1852528,cha,Joseph,Joe/000530_0_1852528.csv,Joe/000530.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000611_0_616048.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000611.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000611.mp3,soderstrom,cha,0,616048,616048,616048,cha,Joseph,Joe/000611_0_616048.csv,Joe/000611.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000703_0_2748652.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000703.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000703.mp3,soderstrom,cha,0,2748652,2748652,2748652,cha,Joseph,Joe/000703_0_2748652.csv,Joe/000703.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000717_0_2791420.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000717.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000717.mp3,soderstrom,cha,0,2791420,2791420,2791420,cha,Joseph,Joe/000717_0_2791420.csv,Joe/000717.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000801_0_4097536.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000801.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000801.mp3,soderstrom,cha,0,4097536,4097536,4097536,cha,Joseph,Joe/000801_0_4097536.csv,Joe/000801.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000809_0_638512.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000809.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000809.mp3,soderstrom,cha,0,638512,638512,638512,cha,Joseph,Joe/000809_0_638512.csv,Joe/000809.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000817_0_4180156.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000817.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000817.mp3,soderstrom,cha,0,4180156,4180156,4180156,cha,Joseph,Joe/000817_0_4180156.csv,Joe/000817.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000829_0_2680576.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000829.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000829.mp3,soderstrom,cha,0,2680576,2680576,2680576,cha,Joseph,Joe/000829_0_2680576.csv,Joe/000829.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000901_0_3180796.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000901.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000901.mp3,soderstrom,cha,0,3180796,3180796,3180796,cha,Joseph,Joe/000901_0_3180796.csv,Joe/000901.mp3
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/annotations/cha/converted/Joe/000915a_0_1484008.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/converted/standard/Joe/000915a.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/soderstrom/recordings/raw/Joe/000915a.mp3,soderstrom,cha,0,1484008,1484008,1484008,cha,Joseph,Joe/000915a_0_1484008.csv,Joe/000915a.mp3
