annotation path,recording path,recording path raw,dataset,set,annotation start (ms),annotation end (ms),annotation duration (ms),recording duration (ms),format,child_id,annotation_filename,recording_filename,split
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_1980000_2100000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,1980000,2100000,120000,57599990,eaf,C026,1156_1_1980000_2100000.csv,1156_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_11580000_11700000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,11580000,11700000,120000,57599990,eaf,C026,1156_1_11580000_11700000.csv,1156_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_19680000_19800000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,19680000,19800000,120000,57599990,eaf,C026,1156_1_19680000_19800000.csv,1156_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_38220000_38340000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,38220000,38340000,120000,57599990,eaf,C026,1156_1_38220000_38340000.csv,1156_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_54300000_54420000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,54300000,54420000,120000,57599990,eaf,C026,1156_1_54300000_54420000.csv,1156_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_34500000_34620000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,34500000,34620000,120000,57599990,eaf,C026,1156_1_34500000_34620000.csv,1156_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_22260000_22380000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,22260000,22380000,120000,57599990,eaf,C026,1156_1_22260000_22380000.csv,1156_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_48600000_48720000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,48600000,48720000,120000,57599990,eaf,C026,1156_1_48600000_48720000.csv,1156_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_40020000_40140000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,40020000,40140000,120000,57599990,eaf,C026,1156_1_40020000_40140000.csv,1156_1.wav,train
/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/annotations/eaf/an1/converted/1156_1_13140000_13260000.csv,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/converted/standard/1156_1.wav,/Users/laurensborst/Desktop/benchmarking-data-2025/datasets/lucid/recordings/raw/1156_1.wav,lucid,eaf/an1,13140000,13260000,120000,57599990,eaf,C026,1156_1_13140000_13260000.csv,1156_1.wav,train
