dataset,set,child_id,time_seek,range_onset,range_offset,annotation duration (ms),full annotation path,full recording path,split
solomon,solis/NM,C142,0,30840000,30900000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_30840000_30900000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,2040000,2100000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_2040000_2100000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,9240000,9300000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_9240000_9300000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,5640000,5700000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_5640000_5700000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,27240000,27300000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_27240000_27300000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,34440000,34500000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_34440000_34500000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,16440000,16500000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_16440000_16500000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,12840000,12900000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_12840000_12900000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,23640000,23700000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_23640000_23700000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,38040000,38100000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_38040000_38100000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
solomon,solis/NM,C142,0,20040000,20100000,60000,/scratch1/data/laac_data/datasets/solomon/annotations/solis/NM/converted/01_CW05_CH05_FB10_FB30_190729_20040000_20100000.csv,/scratch1/data/laac_data/datasets/solomon/recordings/converted/standard/01_CW05_CH05_FB10_FB30_190729.wav,train
warlaumont,eaf/an1,0530,-34239170,12740830,12860830,120000,/scratch1/data/laac_data/datasets/warlaumont/annotations/eaf/an1/converted/0530_000304_3_12740830_12860830.csv,/scratch1/data/laac_data/datasets/warlaumont/recordings/converted/standard/0530_000304_3.wav,train
warlaumont,eaf/an1,0530,-10847850,9972150,10092150,120000,/scratch1/data/laac_data/datasets/warlaumont/annotations/eaf/an1/converted/0530_000304_2_9972150_10092150.csv,/scratch1/data/laac_data/datasets/warlaumont/recordings/converted/standard/0530_000304_2.wav,train
